adapts,deltas,ns,train_losses,valid_losses
True,0.01,1,4.36045653250668,4.364879224633017
False,0.01,1,4.3604553075682855,4.365219263860599
True,0.01,2,3.2768828630010978,3.2807546372753738
False,0.01,2,3.276855619787739,3.2816764908186173
True,0.01,3,2.6193969288551373,2.6167512971452265
False,0.01,3,2.619220778834941,2.6194325324011016
True,0.01,4,2.0233532242811085,2.0250914425460813
False,0.01,4,2.0227858570886603,2.0306049337747933
True,0.01,5,1.651783034425138,1.6659614202495112
False,0.01,5,1.6506067673042892,1.675110379806362
True,0.01,6,1.4488074364590333,1.4893274991294694
False,0.01,6,1.4468110531339842,1.501545612112131
True,0.01,7,1.3363148123003776,1.4263275262453288
False,0.01,7,1.3332245251626933,1.442162956126587
True,0.01,8,1.2583773491529118,1.4383361159695296
False,0.01,8,1.254276875085144,1.4586899435388292
True,0.01,9,1.2000388199238596,1.523551275320012
False,0.01,9,1.1955489942019624,1.549517544334377
True,0.01,10,1.1608684168291055,1.686520657663154
False,0.01,10,1.157104753508519,1.7191262270018313
