adapts,deltas,ns,train_losses,valid_losses
True,0.01,1,4.123585327947681,4.121249816068741
False,0.01,1,4.123585185045237,4.121297344445384
True,0.01,2,3.4361964459839336,3.4323374836549156
False,0.01,2,3.4361925512622626,3.432692649349159
True,0.01,3,2.87917706942275,2.862996331910252
False,0.01,3,2.879095599032234,2.864735212899189
True,0.01,4,2.318315039955167,2.2967139675629094
False,0.01,4,2.317625830372741,2.3043010612457113
True,0.01,5,1.926004444811475,1.9140434220857199
False,0.01,5,1.9229797945234794,1.9294543802220832
True,0.01,6,1.698807119414003,1.7340171896099166
False,0.01,6,1.6906264708998253,1.759319362657404
True,0.01,7,1.5459983120033598,1.6810059425960528
False,0.01,7,1.5303876661267835,1.7181165601360653
True,0.01,8,1.412507117656077,1.705418660436214
False,0.01,8,1.389285095941903,1.755057267231483
True,0.01,9,1.2853558450990779,1.7992679642746008
False,0.01,9,1.2548542444353998,1.8608696262234397
True,0.01,10,1.1593461109931242,1.9560636460576102
False,0.01,10,1.1229317034110584,2.0289878819358336
