adapts,deltas,ns,train_losses,valid_losses
True,0.01,1,4.493438582251409,4.493389864806636
False,0.01,1,4.493435249166898,4.494193445540715
True,0.01,2,3.597496155752571,3.582404775760067
False,0.01,2,3.5973762295763603,3.585612410395222
True,0.01,3,2.899525213125174,2.8983085805499442
False,0.01,3,2.898404859571298,2.9101266104272043
True,0.01,4,2.3280776931432934,2.3741050948202713
False,0.01,4,2.3235428489582155,2.4086695533365323
True,0.01,5,1.946551887028488,2.07996561515334
False,0.01,5,1.9351731275621804,2.139652857093522
True,0.01,6,1.724901158766096,2.051400448516692
False,0.01,6,1.7033737640810944,2.133639384957164
True,0.01,7,1.5665557023514929,2.2303182425579897
False,0.01,7,1.5347719756146738,2.3340659027299595
True,0.01,8,1.4285501062574169,2.5757361977079363
False,0.01,8,1.389525645617435,2.6996035752165084
True,0.01,9,1.2989717884147756,3.0397578821059903
False,0.01,9,1.2570091912558647,3.176567894214099
