adapts,deltas,ns,train_losses,valid_losses
True,0.01,1,4.463693364731164,4.493664263892676
False,0.01,1,4.46369003148897,4.494624314327618
True,0.01,2,3.549006436835294,3.59648437162816
False,0.01,2,3.5488969648112407,3.6042600154037507
True,0.01,3,2.841126478891603,2.9304053908835073
False,0.01,3,2.8401953544681575,2.9518618829502183
True,0.01,4,2.2960503226921185,2.431325318023911
False,0.01,4,2.2921965352409055,2.4891858760643584
True,0.01,5,1.940844903296497,2.1606392045898883
False,0.01,5,1.9307641845574484,2.257836073076663
True,0.01,6,1.7220479861666744,2.164842237249585
False,0.01,6,1.702584931725058,2.3067453910848887
True,0.01,7,1.5590580670616514,2.385858018223672
False,0.01,7,1.530317480494798,2.569395898903334
True,0.01,8,1.4151793837290834,2.7735405753897715
False,0.01,8,1.3802616771810878,2.9911469833929356
True,0.01,9,1.2829332684609946,3.2697755333127816
False,0.01,9,1.2457103359778934,3.5049956636812825
