adapts,deltas,ns,train_losses,valid_losses
True,0.01,1,4.395280761865415,4.374420008824401
False,0.01,1,4.395225177647978,4.374733418935768
True,0.01,2,3.399510384914733,3.36373943044749
False,0.01,2,3.398594795383459,3.3659161620202864
True,0.01,3,2.6346441263508593,2.614148240839745
False,0.01,3,2.630464194935963,2.622840748589708
True,0.01,4,1.925740805371754,1.9925737283679628
False,0.01,4,1.915295503156194,2.0196533218727475
True,0.01,5,1.532480685851863,1.7634325853514017
False,0.01,5,1.514083737618871,1.8174968851791211
True,0.01,6,1.330515018003711,1.8572879254676684
False,0.01,6,1.3052623913214658,1.9404312741229335
True,0.01,7,1.2042753156011583,2.1325191858473596
False,0.01,7,1.1764109109951084,2.2423017584736873
True,0.01,8,1.115885571007213,2.5447213996246116
False,0.01,8,1.0881923776396702,2.675654394452841
