adapts,deltas,ns,train_losses,valid_losses
True,0.001,1,4.360456534312684,4.3648799130237785
False,0.001,1,4.360455310141481,4.365221971272482
True,0.01,1,4.36045653250668,4.364879224633017
False,0.01,1,4.3604553075682855,4.365219263860599
True,0.001,2,3.2768790828917993,3.2808190807711677
False,0.001,2,3.2768505176532816,3.281820703234094
True,0.01,2,3.2768828630010978,3.2807546372753738
False,0.01,2,3.276855619787739,3.2816764908186173
True,0.001,3,2.6192975180569484,2.6171159781139264
False,0.001,3,2.6190887618624847,2.620078193712836
True,0.01,3,2.6193969288551373,2.6167512971452265
False,0.01,3,2.619220778834941,2.6194325324011016
True,0.001,4,2.0225693317687896,2.0261533113511234
False,0.001,4,2.0217834019523573,2.0323501151384322
True,0.01,4,2.0233532242811085,2.0250914425460813
False,0.01,4,2.0227858570886603,2.0306049337747933
True,0.001,5,1.6484775108458694,1.6678139684922029
False,0.001,5,1.6465095832888332,1.6781487410478098
True,0.01,5,1.651783034425138,1.6659614202495112
False,0.01,5,1.6506067673042892,1.675110379806362
