adapts,deltas,ns,train_losses,valid_losses
True,0.01,6,1.4488074364590333,1.4893274991294694
False,0.01,6,1.4468110531339842,1.501545612112131
True,0.01,7,1.3363148123003776,1.4263275262453288
False,0.01,7,1.3332245251626933,1.442162956126587
True,0.01,8,1.2583773491529118,1.4383361159695296
False,0.01,8,1.254276875085144,1.4586899435388292
True,0.01,9,1.2000388199238596,1.523551275320012
False,0.01,9,1.1955489942019624,1.549517544334377
True,0.01,10,1.1608684168291055,1.686520657663154
False,0.01,10,1.157104753508519,1.7191262270018313
True,0.01,11,1.1403693826799837,1.922437690592165
False,0.01,11,1.138284592132859,1.9619906085630652
True,0.01,12,1.1374135528930314,2.2209315365021256
False,0.01,12,1.1374306612714573,2.2674716848669516
True,0.01,13,1.1489231746750432,2.568052807133071
False,0.01,13,1.151299240017773,2.6208182339780888
True,0.01,14,1.1718455813196567,2.9479110180203354
False,0.01,14,1.1765722788955992,3.0059449661565805
True,0.01,15,1.2021695457018482,3.3439756465161725
False,0.01,15,1.2089015986490825,3.4062462781508556
