adapts,deltas,ns,train_losses,valid_losses
True,0.01,6,1.698807119414003,1.7340171896099166
False,0.01,6,1.6906264708998253,1.759319362657404
True,0.01,7,1.5459983120033598,1.6810059425960528
False,0.01,7,1.5303876661267835,1.7181165601360653
True,0.01,8,1.412507117656077,1.705418660436214
False,0.01,8,1.389285095941903,1.755057267231483
True,0.01,9,1.2853558450990779,1.7992679642746008
False,0.01,9,1.2548542444353998,1.8608696262234397
True,0.01,10,1.1593461109931242,1.9560636460576102
False,0.01,10,1.1229317034110584,2.0289878819358336
True,0.01,11,1.036521575684567,2.16014296670967
False,0.01,11,0.9971375076093125,2.242106830277605
True,0.01,12,0.9221303651890889,2.393850101481885
False,0.01,12,0.8824044030664002,2.4828043363270553
True,0.01,13,0.8169591188608686,2.6411620142325547
False,0.01,13,0.7787795435937865,2.7353106206954143
True,0.01,14,0.7234008893445091,2.8864303133073332
False,0.01,14,0.688501877412688,2.983604132780221
True,0.01,15,0.644297647707771,3.119176139191576
False,0.01,15,0.6136756192032439,3.2173966982315467
