alphabet_size,batch_size,hidden_dim,network_type,num_layers,num_trials,seq_length,use_gpu,mean_time,time_sd
27,1,32,lstm,1,50,1,True,0.0007309940084815025,4.5640276782595246e-05
27,1,32,lstm,1,50,1,False,0.0003269110806286335,8.412984830414115e-06
27,1,32,lstm,2,50,1,True,0.0007913018111139536,2.430653293918674e-05
27,1,32,lstm,2,50,1,False,0.00046003966592252256,6.8858314055275665e-06
27,5,32,lstm,1,50,1,True,0.0007530470471829176,0.00014711702555480919
27,5,32,lstm,1,50,1,False,0.00035628492012619974,7.881795342363164e-06
27,5,32,lstm,2,50,1,True,0.0008030143100768328,2.733160413163645e-05
27,5,32,lstm,2,50,1,False,0.0005119917355477809,7.2298188857766975e-06
27,10,32,lstm,1,50,1,True,0.0007383901532739401,2.3253857351720653e-05
27,10,32,lstm,1,50,1,False,0.0003864060714840889,6.25421291084878e-06
27,10,32,lstm,2,50,1,True,0.0008061864692717791,2.8040438981696306e-05
27,10,32,lstm,2,50,1,False,0.0005619881581515073,6.363593211738579e-06
27,15,32,lstm,1,50,1,True,0.0007404087297618389,2.552754164148235e-05
27,15,32,lstm,1,50,1,False,0.0004130071680992842,6.2261713541751485e-06
27,15,32,lstm,2,50,1,True,0.000808573579415679,2.899907121145213e-05
27,15,32,lstm,2,50,1,False,0.0006083836499601602,6.9325002490803e-06
27,20,32,lstm,1,50,1,True,0.0007426547538489103,2.2887870158396313e-05
27,20,32,lstm,1,50,1,False,0.00043578095734119414,5.9310458666809186e-06
27,20,32,lstm,2,50,1,True,0.0008105081506073475,2.8035647322990293e-05
27,20,32,lstm,2,50,1,False,0.000653397710993886,7.530061470236296e-06
27,40,32,lstm,1,50,1,True,0.0007521503511816264,2.274904777973456e-05
27,40,32,lstm,1,50,1,False,0.0005507452320307493,6.3148781025206016e-06
27,40,32,lstm,2,50,1,True,0.0008230084832757711,2.5068407382743097e-05
27,40,32,lstm,2,50,1,False,0.0008541030995547771,6.9104327684165515e-06
27,60,32,lstm,1,50,1,True,0.0007631321158260107,2.5266133847224145e-05
27,60,32,lstm,1,50,1,False,0.0006462221592664719,7.193316644462292e-06
27,60,32,lstm,2,50,1,True,0.0008343351818621158,2.629870941803582e-05
27,60,32,lstm,2,50,1,False,0.0010204130224883555,5.2584423133082785e-06
40,1,32,lstm,1,50,1,True,0.0007248884905129671,2.220619828229018e-05
40,1,32,lstm,1,50,1,False,0.0003279042989015579,9.079233172510213e-06
40,1,32,lstm,2,50,1,True,0.0007919025514274836,2.073510909141704e-05
40,1,32,lstm,2,50,1,False,0.00046286122873425486,7.209574482196711e-06
40,5,32,lstm,1,50,1,True,0.000736957062035799,3.1621282991322136e-05
40,5,32,lstm,1,50,1,False,0.0003599697630852461,5.826893694516722e-06
40,5,32,lstm,2,50,1,True,0.0008038173895329237,2.302488290660672e-05
40,5,32,lstm,2,50,1,False,0.000517585976049304,7.288017467851347e-06
40,10,32,lstm,1,50,1,True,0.0007447624113410712,2.9104782402034444e-05
40,10,32,lstm,1,50,1,False,0.0003933091834187508,6.931180965889652e-06
40,10,32,lstm,2,50,1,True,0.0008070008456707001,2.4279185783649304e-05
40,10,32,lstm,2,50,1,False,0.0005701149068772793,7.020655486430856e-06
40,15,32,lstm,1,50,1,True,0.0007488999329507351,2.604790583934731e-05
40,15,32,lstm,1,50,1,False,0.0004231424164026976,6.279445212971938e-06
40,15,32,lstm,2,50,1,True,0.000811377102509141,2.6159425216851575e-05
40,15,32,lstm,2,50,1,False,0.0006210752204060554,7.3967999460989365e-06
40,20,32,lstm,1,50,1,True,0.000749324569478631,2.8505318202365924e-05
40,20,32,lstm,1,50,1,False,0.0004510161094367504,8.721114487842209e-06
40,20,32,lstm,2,50,1,True,0.0008190022967755795,3.090369270031469e-05
40,20,32,lstm,2,50,1,False,0.0006654634792357683,7.499566565656658e-06
40,40,32,lstm,1,50,1,True,0.0007800238952040673,6.93138907327326e-05
40,40,32,lstm,1,50,1,False,0.0005743667483329773,7.756809913459034e-06
